Month,Node,Strain,Score,NumNT,NumAA,DiversityScore,Infections,NumRecombsDetectedByMonth,UShERClusterSize,LnScore,DonorStrain,DonorID,DonorFitness,AcceptorStrain,AcceptorID,AcceptorFitness,RecombFitnessNormalizedByMaxParents,ParentsHD
2023-01,node_1286772,XBB.1.5_17124,27.899647936939076,89,66,119.41,10270797,28,64,3.3286140699999995,XBB.1.5_17124,node_1286756,26.48078220245061,XBB.1.9.1,node_1083298,25.88292280293922,1.0535809600955504,15
2023-02,node_1226671,XBB.1.5_17124,27.712209714678263,93,66,112.148,4587649,28,8,3.3218730999999995,XBB.1.5.72,node_1282429,32.303849412978124,XBB.1,node_1080881,28.300908313004076,0.8578609118808249,14
2023-01,node_1114565,XBB.1.9,26.95518517599713,94,69,119.41,10270797,28,130,3.294175678699999,XBL,node_1305187,25.521839232023154,XBB.1.9,node_1114564,25.0976636466855,1.0561615458409246,15
2023-02,node_1084026,FL.13,25.897678850044322,97,70,112.148,4587649,28,66,3.2541533449999993,FL.13,node_1083899,25.897678850044322,XBB.1.9.1,node_1088305,20.535136919447453,1.0,7
2023-02,node_1082449,XBB.1.43.1,24.578105689009014,95,66,112.148,4587649,28,10,3.201856033999999,XBB.1.22,node_1041574,24.566619731427064,XBB.1.43.1,node_1082435,23.99752821494388,1.000467543264296,8
2023-02,node_1286773,XBB.1.5_17124,27.093127555857293,95,68,112.148,4587649,28,5,3.299280099999999,XBB.1.9.1,node_1091804,26.017455808536432,XBB.1.5_17124,node_1286758,25.582307774360203,1.0413442327042572,19
2022-10,node_2065986,XBT,17.683931068539,81,60,110.021,12795215,64,465,2.8726563779999985,BA.5.2,node_2066163,18.66698560680659,BA.5.2.34,node_1974912,17.282110269549026,0.9473372638210458,33
2022-11,node_1295707,XBB.1.5_17124,26.060300429315717,95,66,116.172,12388536,46,6,3.260413099999999,XBB.1.5_17124,node_1301527,25.476595317153155,XBB.1.5_17124,node_1295703,25.325522963237045,1.0229114253649725,8
2022-12,node_1378081,XCA,22.702819013642976,91,71,121.724,17219669,37,85,3.1224891023999994,BA.2.75,node_1377983,21.992541430726842,BA.2.75.2,node_1440256,16.57518464699378,1.0322962939573583,22
2023-02,node_1294292,XBB.1.5_17124,23.17247472419575,93,64,112.148,4587649,28,15,3.1429651399999994,XBB.1.5.16,node_1251361,23.986313575596316,XBB.1.9,node_1082770,24.705833751053497,0.9379353458657367,12
